horizon,fold,model,evaluation_rows,mae,rmse,r2
day_3,2,ridge,20,34.35653660238022,41.95072858854967,-0.7947754273501793
day_3,2,random_forest,20,28.107961729731407,35.94807978365139,-0.31790010568014937
day_3,2,extra_trees,20,25.650286053942132,34.5611674120133,-0.21817001840571848
day_3,2,hist_gradient_boosting,20,31.584800811624547,40.70648985323368,-0.6898898910919373
day_3,3,persistence,20,34.65870995052881,45.87465926998482,-0.5526797269460095
day_3,3,ridge,20,33.29987616281128,43.52757662024226,-0.3978647605838561
day_3,3,random_forest,20,29.517794235473218,38.511433899909704,-0.09424748589454479
day_3,3,extra_trees,20,30.096904642645768,38.93797040074997,-0.11862056864178583
day_3,3,hist_gradient_boosting,20,33.135228905692394,42.96475426076725,-0.36194899544687087
day_3,4,persistence,20,74.58889024146347,94.60234025309197,-0.22246915937623646
day_3,4,ridge,20,75.00386547415374,92.73339721422288,-0.17464461391726083
day_3,4,random_forest,20,89.92512452319686,113.08199789827118,-0.7467111686668457
day_3,4,extra_trees,20,85.67718939370347,106.0571297802942,-0.5364339348031475
day_3,4,hist_gradient_boosting,20,90.10297777100764,114.02455669850586,-0.7759508255988294
day_3,5,persistence,20,37.213051467292175,57.26521401750384,-0.1819024287934652
day_3,5,ridge,20,63.52212815440557,76.76350452978281,-1.1237795569625129
day_3,5,random_forest,20,66.63849497853766,73.0070052488486,-0.9210068649589402
day_3,5,extra_trees,20,65.2060183976966,75.43195371947718,-1.050739805849569
day_3,5,hist_gradient_boosting,20,44.95803432635761,58.67962543647357,-0.24100781048179387
day_3,6,persistence,20,28.37460060526156,48.34963702926585,-7.476716013477276
day_3,6,ridge,20,34.52895325896647,43.07794445328148,-5.729009498716171
day_3,6,random_forest,20,28.434653634467075,42.76373215616823,-5.631204158828126
day_3,6,extra_trees,20,28.408995698047693,37.602998741215636,-4.127269645951537
day_3,6,hist_gradient_boosting,20,24.91073019248491,42.31801508639511,-5.493693341237573
day_3,7,persistence,20,25.405241780936365,31.461715707933063,-0.8127374936496603
day_3,7,ridge,20,42.657716706962184,48.216523308546364,-3.2575709775666093
day_3,7,random_forest,20,20.830542881144392,25.215281092067656,-0.1643880523637411
day_3,7,extra_trees,20,20.97119321787407,25.421817317389085,-0.18354097966479532
day_3,7,hist_gradient_boosting,20,22.640952741323183,26.686278821335936,-0.30420587219829853
